City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Hovd,MN,2020-02-21 04:21:34,48.01,91.64,6.49,67,0,3.09
152,Alofi,NU,2020-02-21 04:21:35,-19.06,-169.92,79.72,90,52,12.17
153,Sokoni,TZ,2020-02-21 04:21:35,-6.43,39.55,83.34,74,57,5.5
154,Mantua,IT,2020-02-21 04:21:36,45.17,10.78,41.0,80,0,2.24
155,Mount Isa,AU,2020-02-21 04:21:36,-20.73,139.5,100.4,15,0,6.93
156,Akyab,MM,2020-02-21 04:21:36,20.15,92.9,70.81,50,0,5.53
157,Emet,TR,2020-02-21 04:21:37,39.34,29.26,35.94,94,100,4.36
158,Clyde River,CA,2020-02-21 04:21:37,70.47,-68.59,-9.4,76,90,17.22
159,Olafsvik,IS,2020-02-21 04:21:38,64.89,-23.71,31.33,78,100,41.36
160,Lavrentiya,RU,2020-02-21 04:21:39,65.58,-171.0,-14.24,90,0,6.62
161,Torbay,CA,2020-02-21 04:21:39,47.67,-52.73,12.0,60,20,29.97
162,Wattegama,LK,2020-02-21 04:21:40,6.8,81.48,84.2,89,40,14.99
163,Bathsheba,BB,2020-02-21 04:21:42,13.22,-59.52,78.8,69,75,18.34
164,Komsomolskiy,UZ,2020-02-21 04:21:44,40.43,71.72,39.2,64,0,3.44
165,Luderitz,NA,2020-02-21 04:21:44,-26.65,15.16,66.2,82,63,12.75
166,Tutoia,BR,2020-02-21 04:21:44,-2.76,-42.27,75.4,92,100,2.24
167,Pangnirtung,CA,2020-02-21 04:21:45,66.15,-65.71,-37.43,98,76,2.06
168,Hami,CN,2020-02-21 04:17:52,42.8,93.45,27.91,41,24,3.74
169,Airai,TL,2020-02-21 04:21:46,-8.93,125.41,78.37,74,100,3.36
170,Port Hedland,AU,2020-02-21 04:21:46,-20.32,118.57,93.2,59,7,11.41
171,Anadyr,RU,2020-02-21 04:21:47,64.75,177.48,-13.0,75,0,8.95
172,Beloha,MG,2020-02-21 04:21:47,-25.17,45.05,73.62,75,0,7.27
173,Hofn,IS,2020-02-21 04:21:48,64.25,-15.21,38.03,62,67,16.26
174,Gamba,GA,2020-02-21 04:21:48,-2.65,10.0,78.35,86,98,1.97
175,Jamestown,US,2020-02-21 04:19:48,42.1,-79.24,21.99,66,90,11.41
176,Bacolod,PH,2020-02-21 04:19:52,10.67,122.95,84.0,56,24,9.24
177,Taiyuan,CN,2020-02-21 04:18:09,37.87,112.56,42.8,28,0,6.71
